Timestamp,No.,Ticker,Company,Country,Market Cap,P/E,Shares Float,Insider Ownership,Insider Transactions,Institutional Ownership,Institutional Transactions,Float Short,Short Interest,Performance (1 Minute),Performance (2 Minutes),Performance (3 Minutes),Performance (5 Minutes),Performance (15 Minutes),Performance (30 Minutes),Performance (1 Hour),Performance (2 Hours),Performance (4 Hours),Performance (Week),Performance (Month),Performance (Quarter),Performance (Half Year),Performance (Year),Performance (YTD),Average True Range,Volatility (Week),Volatility (Month),20-Day Simple Moving Average,50-Day Simple Moving Average,200-Day Simple Moving Average,Earnings Date,Change from Open,Gap,Average Volume,Relative Volume,Volume,Prev Close,High,Low,Price,Change,After-Hours Close,After-Hours Change
2024-07-19 06:29:19,8,UNCY,Unicycive Therapeutics Inc,USA,37.61,,63.30,26.12%,0.00%,21.53%,-2.92%,2.32%,1.47,0.00%,0.00%,0.00%,0.00%,0.00%,-0.23%,-0.23%,-0.23%,-0.23%,-11.30%,-32.02%,-59.72%,-48.94%,-64.88%,-49.41%,0.06,10.08%,14.78%,-12.42%,-40.45%,-52.09%,5/13/2024 4:30:00 PM,-0.23%,8.00%,889.21,9.29,412966,0.41,0.44,0.43,0.44,7.76%,,
2024-07-19 06:44:19,1,AUGX,Augmedix Inc,USA,111.16,,47.45,3.11%,-22.99%,82.90%,0.68%,4.30%,2.04,-0.44%,0.00%,0.00%,0.44%,10.19%,10.19%,10.19%,10.19%,10.19%,147.65%,202.67%,-24.58%,-54.05%,-49.56%,-61.20%,0.16,4.64%,7.56%,151.72%,106.01%,-39.19%,5/13/2024 4:30:00 PM,26.82%,95.33%,738.16,38.84,1433333,0.92,2.29,1.78,2.27,147.71%,,
2024-07-19 06:44:19,2,HE,"Hawaiian Electric Industries, Inc.",USA,1922.53,10.28,109.90,0.36%,0.00%,58.56%,0.37%,22.81%,25.07,-0.23%,-0.23%,-0.06%,0.40%,0.58%,-1.13%,-2.90%,-2.90%,-2.90%,67.11%,85.43%,70.71%,34.59%,-54.87%,22.83%,1.04,8.91%,7.02%,79.47%,70.99%,46.54%,5/10/2024 4:30:00 PM,-0.63%,37.57%,3368.35,2.30,386772,12.75,17.95,17.24,17.43,36.71%,,
2024-07-19 06:44:19,3,NAAS,Naas Technology Inc ADR,China,36.66,,4.15,0.95%,0.00%,13.63%,-49.55%,1.72%,0.07,0.00%,0.00%,0.00%,0.46%,1.16%,0.11%,-0.11%,-0.11%,-0.11%,107.84%,55.14%,-57.52%,-62.92%,-91.23%,-71.22%,1.35,58.80%,35.74%,130.72%,18.93%,-70.15%,5/9/2024 4:30:00 PM,-1.69%,10.01%,2098.54,4.54,476864,8.09,8.99,8.60,8.75,8.16%,,
2024-07-19 06:44:19,4,NVOS,Novo Integrated Sciences Inc,USA,12.46,,15.67,6.82%,0.00%,5.17%,8.10%,6.23%,0.98,0.00%,1.48%,1.48%,1.97%,3.42%,2.96%,2.22%,2.22%,2.22%,37.49%,-9.49%,58.92%,8.32%,-37.71%,-9.72%,0.10,10.92%,13.29%,8.63%,5.88%,-31.84%,1/22/2024 4:30:00 PM,0.41%,22.56%,7059.19,3.38,1193925,0.60,0.74,0.69,0.74,23.06%,,
2024-07-19 06:44:19,5,S,SentinelOne Inc,USA,6648.49,,262.98,15.95%,-2.79%,58.82%,10.89%,4.31%,11.33,-0.05%,0.19%,0.19%,0.19%,-0.19%,-0.89%,-1.89%,-1.89%,-1.89%,4.47%,17.02%,3.11%,-14.04%,37.01%,-22.56%,0.89,4.40%,3.84%,5.80%,6.49%,-2.81%,5/30/2024 4:30:00 PM,-1.98%,7.65%,4701.74,2.38,558837,20.14,21.68,21.17,21.25,5.51%,,
2024-07-19 06:44:19,6,SERV,Serve Robotics Inc,USA,169.55,,23.48,36.70%,0.46%,,,5.50%,1.29,0.22%,0.44%,-0.44%,-1.08%,-3.20%,-3.79%,-3.38%,-3.38%,-3.38%,99.56%,122.93%,46.95%,,,-81.72%,0.45,9.32%,11.78%,114.05%,80.23%,21.75%,05/29/2024,2.24%,69.96%,638.12,176.87,5643374,2.63,4.93,4.47,4.57,73.76%,,
2024-07-19 06:44:19,7,SGD,Safe and Green Development Corp,USA,6.61,,8.94,44.26%,0.00%,1.69%,,4.79%,0.43,-0.51%,-0.48%,-0.07%,1.01%,-0.27%,-4.16%,-8.53%,-8.53%,-8.53%,3.53%,-3.33%,-34.62%,-42.81%,,-70.58%,0.04,10.54%,7.45%,1.77%,-14.57%,-58.36%,,-7.02%,19.79%,3502.27,37.49,6565105,0.37,0.45,0.40,0.41,11.38%,,
2024-07-19 06:44:19,8,SILO,SILO Pharma Inc,USA,14.91,,3.46,6.10%,4.90%,3.06%,,1.95%,0.07,0.25%,-0.74%,-0.98%,-1.70%,5.48%,11.29%,6.88%,6.88%,6.88%,300.00%,320.83%,105.08%,184.51%,95.17%,180.56%,0.41,34.05%,15.07%,225.27%,169.30%,154.89%,,6.04%,9.80%,4952.30,3.48,862392,3.47,4.19,3.61,4.04,16.43%,,
2024-07-19 06:44:19,9,SXTP,60 Degrees Pharmaceuticals Inc,USA,4.82,,9.32,23.67%,8.48%,3.98%,,2.95%,0.27,-0.48%,0.36%,1.15%,-1.87%,-4.04%,21.05%,16.13%,16.13%,16.13%,60.69%,47.48%,60.07%,-46.18%,-88.05%,-61.32%,0.04,7.88%,9.38%,58.08%,49.40%,-15.95%,5/15/2024 8:30:00 AM,15.72%,38.58%,760.44,314.96,11975512,0.25,0.44,0.31,0.39,60.37%,,
2024-07-19 06:44:19,10,UNCY,Unicycive Therapeutics Inc,USA,36.34,,63.30,26.12%,0.00%,21.53%,-2.92%,2.32%,1.47,-1.37%,-1.37%,-2.51%,-2.51%,-2.51%,-3.39%,-3.61%,-3.61%,-3.61%,-14.31%,-34.33%,-61.09%,-50.67%,-66.07%,-51.12%,0.06,10.08%,14.78%,-15.40%,-42.47%,-53.71%,5/13/2024 4:30:00 PM,-3.61%,8.00%,889.21,10.42,463430,0.41,0.44,0.42,0.42,4.10%,,
2024-07-19 06:59:19,1,AUGX,Augmedix Inc,USA,111.16,,47.45,3.11%,-22.99%,82.90%,0.68%,4.30%,2.04,0.00%,0.00%,0.00%,0.00%,0.00%,10.19%,10.19%,10.19%,10.19%,147.65%,202.67%,-24.58%,-54.05%,-49.56%,-61.20%,0.16,4.64%,7.56%,151.72%,106.01%,-39.19%,5/13/2024 4:30:00 PM,26.82%,95.33%,738.16,48.67,1796347,0.92,2.29,1.78,2.27,147.71%,,
2024-07-19 06:59:19,2,HE,"Hawaiian Electric Industries, Inc.",USA,1928.04,10.31,109.90,0.36%,0.00%,58.56%,0.37%,22.81%,25.07,-0.34%,-0.34%,-0.34%,0.11%,0.34%,0.87%,-2.62%,-2.62%,-2.62%,67.59%,85.96%,71.20%,34.98%,-54.74%,23.19%,1.04,8.91%,7.02%,79.98%,71.48%,46.96%,5/10/2024 4:30:00 PM,-0.34%,37.57%,3368.35,2.37,399194,12.75,17.95,17.24,17.48,37.10%,,
2024-07-19 06:59:19,3,LODE,Comstock Inc,USA,24.80,2.64,126.38,8.58%,13.00%,6.85%,-7.01%,1.16%,1.47,0.00%,0.00%,0.11%,4.00%,6.15%,6.15%,4.00%,4.00%,4.00%,0.50%,2.63%,-43.41%,-63.24%,-74.00%,-67.26%,0.02,9.25%,9.62%,8.42%,-13.92%,-52.01%,4/30/2024 8:30:00 AM,4.00%,2.86%,1800.95,4.37,393699,0.17,0.18,0.17,0.18,6.98%,,
2024-07-19 06:59:19,4,NAAS,Naas Technology Inc ADR,China,37.17,,4.15,0.95%,0.00%,13.63%,-49.55%,1.72%,0.07,0.00%,0.68%,0.68%,0.91%,1.95%,2.42%,1.26%,1.26%,1.26%,110.69%,57.27%,-56.94%,-62.42%,-91.11%,-70.82%,1.35,58.80%,35.74%,133.88%,20.57%,-69.74%,5/9/2024 4:30:00 PM,-0.34%,10.01%,2098.54,4.61,484225,8.09,8.99,8.60,8.87,9.64%,,
2024-07-19 06:59:19,5,NVOS,Novo Integrated Sciences Inc,USA,12.17,,15.67,6.82%,0.00%,5.17%,8.10%,6.23%,0.98,0.00%,0.43%,-0.15%,-2.15%,-0.89%,0.82%,-0.17%,-0.17%,-0.17%,34.28%,-11.60%,55.21%,5.79%,-39.17%,-11.83%,0.11,10.92%,13.29%,6.09%,3.41%,-33.43%,1/22/2024 4:30:00 PM,-1.94%,22.56%,7059.19,6.78,2393655,0.60,0.84,0.69,0.72,20.19%,,
